"authorPlotCode","Contrib","Role","PlaceName","PlaceSystem","StratumIndex","StratumBase","StratumHeight","StratumCover"
"plt1","Lee, Michael","PI","","","","","",""
"plt1","","","Kansas","StateProvince","","","",""
"plt1","","","United States","Country","","","",""
"plt1","","","","","tree","3","22",""
"plt1","","","","","herb","0","3","12"
"plt2","Lee Anne Jacobs","plot author","","","","","",""
"plt2","","","North Carolina","StateProvince","","","",""
"plt2","","","United States","Country","","","",""
"plt2","","","","","tree","2","20","35.5"
"plt2","","","","","herb","0","2","23"
"plt2","","","Reid","Quadrangle","","","",""
"plt3","gramling@somewhere.com","classifier","","","","","",""
"plt3","","","British Columbia","StateProvince","","","",""
"plt3","","","Canada","Country","","","",""
"plt3","","","","","tree","1","15",""
"plt3","","","","","herb","0","1",""
